91.187.93.166,443,AD,Andorra Telecom
84.235.245.18,34501,AE,Oracle Svenska AB
193.123.81.105,443,AE,Oracle Corporation
139.185.50.5,14594,AE,Oracle Corporation
193.123.90.82,12648,AE,Oracle Corporation
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
139.185.34.131,443,AE,Oracle Corporation
3.29.240.49,443,AE,Amazon Data Services UAE
91.132.132.237,443,AM,WorkTitans B.V.
213.159.76.175,443,AM,WorkTitans B.V.
2.56.204.183,443,AM,Proitlab LLC
213.159.76.202,8443,AM,WorkTitans B.V.
194.156.103.67,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
185.234.57.153,443,AM,WorkTitans B.V.
77.91.68.209,443,AM,365.partners INC
2.56.207.235,443,AM,Proitlab LLC
213.159.76.202,2053,AM,WorkTitans B.V.
2.56.206.160,443,AM,Proitlab LLC
2.56.204.246,443,AM,Proitlab LLC
45.129.185.59,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
2.56.206.64,443,AM,Proitlab LLC
87.121.47.32,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
195.250.87.42,4443,AM,GNC-Alfa CJSC
45.129.185.79,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
178.160.195.187,443,AM,Telecom Armenia OJSC
151.236.8.190,443,AT,EDIS IPv6 Infrastructure in Austria
193.219.97.235,8443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.78,2053,AT,Alwyzon, a trading name of Hohl IT e.U.
203.98.67.74,8443,AT,Alwyzon, a trading name of Hohl IT e.U.
185.104.63.202,443,AT,ZetServers Vienna
83.138.55.252,2053,AT,Alwyzon, a trading name of Hohl IT e.U.
77.110.110.254,443,AT,Aeza International LTD
85.236.242.36,443,AT,Cable Customers
152.67.101.72,23010,AU,Oracle Public Cloud
175.45.183.67,443,AU,Mammoth Media Pty Ltd
103.115.253.253,443,BD,Star Internet Service
103.159.170.124,443,BD,MD AKASH AS ONLINE
160.22.215.254,443,BD,AKBOR POWER NET
35.210.99.51,443,BE,Google LLC
148.177.146.71,443,BE,Johnson  Johnson
195.123.225.28,81,BG,Green Floid LLC
78.128.127.93,443,BG,DA International Group Ltd.
185.232.171.125,2053,BG,FIRST SERVER LIMITED
185.148.146.9,443,BG,Belcloud LTD
91.227.77.40,8443,BG,BlueVPS OU
185.232.171.125,8443,BG,FIRST SERVER LIMITED
91.227.77.150,8443,BG,BlueVPS OU
94.72.140.22,2053,BG,DA International Group Ltd. - AlphaVPS
185.204.53.58,443,BG,Hosting Provider EuroHoster Ltd.
94.156.35.144,18836,BG,Belcloud LTD
185.141.61.113,2053,BG,Belcloud LTD
91.210.166.15,443,BG,Friendhosting LTD
185.82.218.224,9443,BG,ITLDC EU2.SOF Datacenter Network
91.215.153.85,443,BG,Friendhosting LTD
91.227.77.27,8443,BG,BlueVPS OU
91.210.166.82,443,BG,Friendhosting LTD
91.210.166.102,443,BG,Friendhosting LTD
94.72.140.22,8443,BG,DA International Group Ltd. - AlphaVPS
193.239.160.25,443,BG,FIRST SERVER LIMITED
93.157.106.107,443,BG,ALEXHOST SRL
185.232.170.111,443,BG,FIRST SERVER LIMITED
91.227.77.78,8443,BG,BlueVPS OU
79.124.7.236,444,BG,DA International Group Ltd. - AlphaVPS
185.232.171.94,443,BG,FIRST SERVER LIMITED
193.239.160.134,443,BG,FIRST SERVER LIMITED
95.164.21.123,443,BG,WorkTitans B.V.
185.205.210.83,443,BG,Belcloud LTD
185.203.116.174,443,BG,Belcloud LTD
185.232.170.226,443,BG,FIRST SERVER LIMITED
185.82.218.224,8443,BG,ITLDC EU2.SOF Datacenter Network
185.232.170.158,443,BG,FIRST SERVER LIMITED
91.227.77.123,8443,BG,BlueVPS OU
91.210.166.145,443,BG,Friendhosting LTD
185.162.10.111,2053,BG,Hosting Provider EuroHoster Ltd.
91.215.155.140,443,BG,Friendhosting LTD
91.215.154.48,443,BG,Friendhosting LTD
185.162.10.111,8443,BG,Hosting Provider EuroHoster Ltd.
185.190.250.26,7445,BG,Friendhosting LTD
185.82.218.224,443,BG,ITLDC EU2.SOF Datacenter Network
201.16.130.6,443,BR,ALGAR TELECOM SA
93.85.88.60,2053,BY,Republican Unitary Telecommunication Enterprise Beltelecom
40.177.65.8,443,CA,Amazon Data Services Canada
38.180.13.8,8443,CA,3NT SOLUTIONS LLP
38.180.13.8,2053,CA,3NT SOLUTIONS LLP
155.138.128.135,443,CA,Vultr Holdings, LLC
172.98.207.58,443,CA,CENTRILOGICCANADA
185.195.69.119,2053,CH,Datasource AG
194.87.97.6,2053,CH,GLB Bulut Teknolojisi Limited Sirketi
45.85.93.59,443,CH,Internet Utilities Europe and Asia Limited
45.90.58.58,81,CH,Green Floid LLC
176.10.125.114,443,CH,Datasource AG
194.156.102.142,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
87.120.222.2,443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
91.90.193.19,443,CH,Friendhosting LTD
104.168.87.155,3306,CN,Hurricane Electric LLC
104.168.87.155,5432,CN,Hurricane Electric LLC
91.148.134.83,2053,CO,Oneprovider.com - Bogota Infrastructure
91.148.134.83,8443,CO,Oneprovider.com - Bogota Infrastructure
213.7.187.34,443,CY,Cyprus Telecommunications Authority
81.91.214.85,443,CZ,OvaNet, a.s.
91.199.160.142,443,CZ,SmartApe OU
45.15.162.45,443,CZ,WorkTitans B.V.
85.208.139.98,8444,DE,HOST TELECOM LTD
91.199.118.208,8443,DE,Customer allocation HB Client 11647
85.208.139.98,8443,DE,HOST TELECOM LTD
18.197.218.69,443,DE,A100 ROW GmbH
91.199.118.215,8443,DE,Customer allocation HB Client 11647
178.128.198.120,8443,DE,DigitalOcean, LLC
18.184.55.249,443,DE,A100 ROW GmbH
77.221.148.189,443,DE,AEZA GROUP LLC
104.248.17.101,443,DE,DigitalOcean, LLC
37.1.198.128,8443,DE,IROKO Networks Corporation
77.81.65.9,8443,DE,RCS Technologies FZE LLC
82.117.245.53,2053,DE,Witine Limited
82.117.245.58,2053,DE,Witine Limited
185.235.241.209,8443,DE,WorkTitans B.V.
